Key,Item Type,Publication Year,Author,Company,Model,Type of model,Title,Url,Dataset,Dataset source,Dataset type,Dataset purpose,Preprocessing method,Preprocessing agent,Type of preprocessing agent,Page
VCPR3CVN,document,,Anthropic,Anthropic,Claude 2,General use,Model Card and Evaluations for Claude Models,,Proprietary mix of publicly available information from the Internet,public,data,training,Training data cuts off in early 2023,Anthropic,internal,2
VCPR3CVN,document,,Anthropic,Anthropic,Claude 2,General use,Model Card and Evaluations for Claude Models,,Datasets that we license from third party businesses,third parties,data,training,,,,2
VCPR3CVN,document,,Anthropic,Anthropic,Claude 2,General use,Model Card and Evaluations for Claude Models,,Data that our users affirmatively share,user-based,data,training,,,,2
VCPR3CVN,document,,Anthropic,Anthropic,Claude 2,General use,Model Card and Evaluations for Claude Models,,Data that crowd workers provide,crowd workers,data,training,,,,2
VCPR3CVN,document,,Anthropic,Anthropic,Claude 2,General use,Model Card and Evaluations for Claude Models,,Unbiased samples for Constitutional AI,internal,behavioral training,training,"Generate unbiased samples, and then finetune Claude on these samples before we initiate the RL phase of Constitutional AI",Anthropic algorithms/engineers,internal,4
T8QMJ4FU,document,2024,Anthropic,Anthropic,Claude 3 Family,General use,"The Claude 3 model family: Opus, Sonnet, Haiku",,Proprietary mix of publicly available information on the Internet as of August 2023,public,data,training,"Data cleaning and filtering methods, including deduplication and classification",Anthropic,internal,3
T8QMJ4FU,document,2024,Anthropic,Anthropic,Claude 3 Family,General use,"The Claude 3 model family: Opus, Sonnet, Haiku",,non-public data from third parties,third parties,data,training,"Data cleaning and filtering methods, including deduplication and classification",Anthropic,internal,3
T8QMJ4FU,document,2025,Anthropic,Anthropic,Claude 3 Family,General use,"The Claude 3 model family: Opus, Sonnet, Haiku",,data provided by data labeling services and paid contractors,private,data,training,"Data cleaning and filtering methods, including deduplication and classification",Anthropic,internal,3
T8QMJ4FU,document,2026,Anthropic,Anthropic,Claude 3 Family,General use,"The Claude 3 model family: Opus, Sonnet, Haiku",,data we generate internally,internal,data,training,"Data cleaning and filtering methods, including deduplication and classification",Anthropic,internal,3
T8QMJ4FU,document,2024,Anthropic,Anthropic,Claude 3 Family,General use,"The Claude 3 model family: Opus, Sonnet, Haiku",,Human feedback data for RLHF and Constitutional AI,user-based,data,training,Selecting preferred model outputs in order to train AI models to align with those preferences; evaluating model outputs according to a broad range of criteria,Data workers managed by several data work platforms,private,"3, 4"
T8QMJ4FU,document,2024,Anthropic,Anthropic,Claude 3 Family,General use,"The Claude 3 model family: Opus, Sonnet, Haiku",,Wildchat dataset,public,behavioral training,refusals,Divided into toxic and non-toxic subsets to evaluate refusal rates,,,10
T8QMJ4FU,document,2024,Anthropic,Anthropic,Claude 3 Family,General use,"The Claude 3 model family: Opus, Sonnet, Haiku",,XSTest,public,behavioral training,refusals,,,,10
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,GPQA,public,benchmark,graduate level G&A,,,,"1, 2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,MMLU,public,benchmark,general reaoning,,,,"1, 2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,MATH,public,benchmark,mathematical problem solving,,,,"2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,HumanEval,public,benchmark,coding,,,,"1, 2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,MGSM,public,benchmark,mathematical problem solving,,,,"2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,DROP,public,benchmark,reading,,,,"2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,BIG-Bench Hard,public,benchmark,mixed,,,,"2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,GSM8K,public,benchmark,mathematical problem solving,,,,"2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,MMMU,public,benchmark,visual question answering,,,,"2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,MathVista,public,benchmark,mathematical problem solving,,,,"1, 2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,AI2D,public,benchmark,science diagrams,,,,"1, 2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,ChartQA,public,benchmark,chart understanding,,,,"1, 2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,DocVQA,public,benchmark,document understanding,,,,"1, 2, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,Internal,internal,benchmark,coding,,,,"1, 3"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,Wildchat,public,behavioral training,refusals,,,,"3, 7"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,XSTest,public,behavioral training,refusals,,,,"3, 8"
GMPNNKLY,document,,Anthropic,Anthropic,Claude 3.5 Sonnet,General use,Claude 3.5 Sonnet Model Card Addendum,,Needle In a Haystack,public,benchmark,retrieval capacities,,,,"3, 4, 8"
GIIIBG2L,document,,Anthropic,Anthropic,Claude 3.7 Sonnet,General use,Claude 3.7 Sonnet system card,https://www-cdn.anthropic.com/9ff93dfa8f445c932415d335c88852ef47f1201e.pdf,human feedback data,red-teaming,behavioral training,,,,,3
GIIIBG2L,document,,Anthropic,Anthropic,Claude 3.7 Sonnet,General use,Claude 3.7 Sonnet system card,https://www-cdn.anthropic.com/9ff93dfa8f445c932415d335c88852ef47f1201e.pdf,pairwise preference data,internal,behavioral training,helpfulness,"scored using refusal and policy violation classifiers as well as a 'helpfulness' classifier to prefer the least violating response or the more helpful, less refusing response",refusal and policy violation classifiers / helpfulness classifier,internal,7
GIIIBG2L,document,,Anthropic,Anthropic,Claude 3.7 Sonnet,General use,Claude 3.7 Sonnet system card,https://www-cdn.anthropic.com/9ff93dfa8f445c932415d335c88852ef47f1201e.pdf,WildChat,public,behavioral training,refusals,prompts flagged as non-toxic and prompts flagged as toxic used as ground-truth labels,,,9
GIIIBG2L,document,,Anthropic,Anthropic,Claude 3.7 Sonnet,General use,Claude 3.7 Sonnet system card,,Publicly available information on the Internet as of August 2023,public,data,training,"data cleaning and filtering methods, including deduplication and classification; crawler follows robots.txt instructions, does not access password protected or sign-in pages or bypass CAPTCHA controls",Anthropic's general purpose crawler,internal,3
GIIIBG2L,document,,Anthropic,Anthropic,Claude 3.7 Sonnet,General use,Claude 3.7 Sonnet system card,,non-public data from third parties,third parties,data,training,"data cleaning and filtering methods, including deduplication and classification; crawler follows robots.txt instructions, does not access password protected or sign-in pages or bypass CAPTCHA controls",Anthropic's general purpose crawler,internal,3
GIIIBG2L,document,,Anthropic,Anthropic,Claude 3.7 Sonnet,General use,Claude 3.7 Sonnet system card,,data provided by data labeling services and paid contractors,private,data,training,"data cleaning and filtering methods, including deduplication and classification; crawler follows robots.txt instructions, does not access password protected or sign-in pages or bypass CAPTCHA controls",Anthropic's general purpose crawler,internal,3
GIIIBG2L,document,,Anthropic,Anthropic,Claude 3.7 Sonnet,General use,Claude 3.7 Sonnet system card,,data we generate internally,internal,data,training,"data cleaning and filtering methods, including deduplication and classification; crawler follows robots.txt instructions, does not access password protected or sign-in pages or bypass CAPTCHA controls",Anthropic's general purpose crawler,internal,3
GIIIBG2L,document,,Anthropic,Anthropic,Claude 3.7 Sonnet,General use,Claude 3.7 Sonnet system card,https://www-cdn.anthropic.com/9ff93dfa8f445c932415d335c88852ef47f1201e.pdf,MMLU and GPQA multiple-choice questions,public,benchmark,,constructed prompt pairs consisting of a baseline or 'unclued' prompt and a 'clued' prompt,Anthropic,internal,17
IAZRTFQL,document,2025,Anthropic,Anthropic,Claude Haiku 4.5,General use,Claude Haiku 4.5 System Card,https://www-cdn.anthropic.com/7aad69bf12627d42234e01ee7c36305dc2f6a970.pdf,publicly available information from the internet up to February 2025,public,data,training,Data cleaning and filtering methods including deduplication and classification. Gathered using a general-purpose web crawler that follows 'robots.txt' instructions and does not access password-protected pages or those requiring sign-in or CAPTCHA.,Anthropic / general-purpose web crawler,internal,5
IAZRTFQL,document,2025,Anthropic,Anthropic,Claude Haiku 4.5,General use,Claude Haiku 4.5 System Card,https://www-cdn.anthropic.com/7aad69bf12627d42234e01ee7c36305dc2f6a970.pdf,non-public data from third parties,third parties,data,training,Data cleaning and filtering methods including deduplication and classification,Anthropic,internal,5
IAZRTFQL,document,2025,Anthropic,Anthropic,Claude Haiku 4.5,General use,Claude Haiku 4.5 System Card,https://www-cdn.anthropic.com/7aad69bf12627d42234e01ee7c36305dc2f6a970.pdf,data provided by data-labeling services and paid contractors,third parties,data,training,Data cleaning and filtering methods including deduplication and classification,Anthropic,internal,5
IAZRTFQL,document,2025,Anthropic,Anthropic,Claude Haiku 4.5,General use,Claude Haiku 4.5 System Card,https://www-cdn.anthropic.com/7aad69bf12627d42234e01ee7c36305dc2f6a970.pdf,data from Claude users who have opted in to have their data used for training,user-based,data,training,Data cleaning and filtering methods including deduplication and classification,Anthropic,internal,5
IAZRTFQL,document,2025,Anthropic,Anthropic,Claude Haiku 4.5,General use,Claude Haiku 4.5 System Card,https://www-cdn.anthropic.com/7aad69bf12627d42234e01ee7c36305dc2f6a970.pdf,data we generated internally at Anthropic,proprietary,data,training,Data cleaning and filtering methods including deduplication and classification,Anthropic,internal,5
MFPTTXIQ,document,2025,Anthropic,Anthropic,Claude Opus 4,General use,System card: Claude Opus 4 & Claude Sonnet 4,,"Approximately 150,000 publicly released transcripts from the paper Alignment Faking in Large Language Models",public,,,Included in pretraining data without system prompts explaining the paper's fictional setting.,Anthropic,internal,38
MFPTTXIQ,document,2025,Anthropic,Anthropic,Claude Opus 4,General use,System card: Claude Opus 4 & Claude Sonnet 4,,Targeted mitigation dataset based on Alignment Faking paper,proprietary,,,"Model prompted with prompts from the Alignment Faking paper, but trained to give responses based on the behavior of Claude Sonnet 3.7 to mitigate hallucinations.",Anthropic,internal,38
MFPTTXIQ,document,2025,Anthropic,Anthropic,Claude Opus 4,General use,System card: Claude Opus 4 & Claude Sonnet 4,,Finetuning dataset including harmful system prompts,proprietary,,,"Accidentally omitted during initial training, later restored to mitigate excessive compliance with harmful system-prompt instructions.",Anthropic,internal,"24, 37"
MFPTTXIQ,document,2025,Anthropic,Anthropic,Claude Opus 4 & Claude Sonnet 4,General use,System card: Claude Opus 4 & Claude Sonnet 4,,Publicly available information on the Internet as of March 2025,public,,,"Data cleaning and filtering methods during the training process, including deduplication and classification. Filtered by general-purpose web crawler adhering to robots.txt, ignoring password-protected, sign-in, or CAPTCHA pages.",Anthropic,internal,6
MFPTTXIQ,document,2025,Anthropic,Anthropic,Claude Opus 4 & Claude Sonnet 4,General use,System card: Claude Opus 4 & Claude Sonnet 4,,Non-public data from third parties,proprietary,,,,,,6
MFPTTXIQ,document,2025,Anthropic,Anthropic,Claude Opus 4 & Claude Sonnet 4,General use,System card: Claude Opus 4 & Claude Sonnet 4,,Data provided by data-labeling services and paid contractors,proprietary,,,,Data-labeling services and paid contractors,private,6
MFPTTXIQ,document,2025,Anthropic,Anthropic,Claude Opus 4 & Claude Sonnet 4,General use,System card: Claude Opus 4 & Claude Sonnet 4,,Data from Claude users who have opted in to have their data used for training,user-based,,,,,,6
MFPTTXIQ,document,2025,Anthropic,Anthropic,Claude Opus 4 & Claude Sonnet 4,General use,System card: Claude Opus 4 & Claude Sonnet 4,,Data generated internally at Anthropic,proprietary,,,,Anthropic,internal,6
8AC5MJHG,document,2025,Anthropic,Anthropic,Claude Opus 4.1,General use,System Card  Addendum:  Claude Opus 4.1,,Single-turn evaluations (violative and benign requests),proprietary,,,refreshing a small subset of prompts,Safeguards team,internal,5
8AC5MJHG,document,2025,Anthropic,Anthropic,Claude Opus 4.1,General use,System Card  Addendum:  Claude Opus 4.1,,Child safety evaluations (human-generated and synthetic prompts),proprietary,,,,,,6
8AC5MJHG,document,2025,Anthropic,Anthropic,Claude Opus 4.1,General use,System Card  Addendum:  Claude Opus 4.1,,Bias Benchmark for Question Answering (BBQ),public,,,,,,6
8AC5MJHG,document,2025,Anthropic,Anthropic,Claude Opus 4.1,General use,System Card  Addendum:  Claude Opus 4.1,,290 seed instructions for simulated alignment interactions,proprietary,,,,,,10
8AC5MJHG,document,2025,Anthropic,Anthropic,Claude Opus 4.1,General use,System Card  Addendum:  Claude Opus 4.1,,Reward-hack-prone coding tasks from training distribution,proprietary,,,,,,15
8AC5MJHG,document,2025,Anthropic,Anthropic,Claude Opus 4.1,General use,System Card  Addendum:  Claude Opus 4.1,,Claude Code impossible tasks,proprietary,,,,,,16
8AC5MJHG,document,2025,Anthropic,Anthropic,Claude Opus 4.1,General use,System Card  Addendum:  Claude Opus 4.1,,LAB-Bench subset,public,,,Subset selection,Anthropic,internal,21
8AC5MJHG,document,2025,Anthropic,Anthropic,Claude Opus 4.1,General use,System Card  Addendum:  Claude Opus 4.1,,SWE-bench Verified (hard subset),public,,,,,,22
8AC5MJHG,document,2025,Anthropic,Anthropic,Claude Opus 4.1,General use,System Card  Addendum:  Claude Opus 4.1,,Internal AI Research Evaluation Suite 1,proprietary,,,,,,22
8AC5MJHG,document,2025,Anthropic,Anthropic,Claude Opus 4.1,General use,System Card  Addendum:  Claude Opus 4.1,,Capture The Flag (CTF) challenges,proprietary,,,,,,23
8AC5MJHG,document,2025,Anthropic,Anthropic,Claude Opus 4.1,General use,System Card  Addendum:  Claude Opus 4.1,,Cybench,public,,,35-challenge subset selection,Anthropic,internal,23
3GE36RMI,document,2025,Anthropic,Anthropic,Claude Opus 4.5,General use,Claude Opus 4.5 System Card,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf,Pretraining data mix,"other: proprietary, public, and user-based mix",,,"Deduplication, classification, general-purpose web crawler following robots.txt, avoiding password-protected/CAPTCHA pages, exact substring removal, fuzzy decontamination (20-gram overlap filtering), and canary string filtering.","Anthropic internal tools, web crawler, data-labeling services, and paid contractors",other: internal and private,"8, 15, 16"
3GE36RMI,document,2025,Anthropic,Anthropic,Claude Opus 4.5,General use,Claude Opus 4.5 System Card,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf,Post-training and fine-tuning data (RLHF/RLAIF),other: human and AI feedback,,,,Anthropic internal and crowd workers via data work platforms,other: internal and private,"9, 10"
NWKEIQTV,document,2026,Anthropic,Anthropic,Claude Opus 4.6,General use,Claude Opus 4.6 System Card,https://www-cdn.anthropic.com/c788cbc0a3da9135112f97cdf6dcd06f2c16cee2.pdf,Publicly available information from the internet up to May 2025,public,,,Data cleaning and filtering methods including deduplication and classification; web crawling following robots.txt instructions; due diligence on training data,general-purpose web crawler,internal,10-11
NWKEIQTV,document,2026,Anthropic,Anthropic,Claude Opus 4.6,General use,Claude Opus 4.6 System Card,https://www-cdn.anthropic.com/c788cbc0a3da9135112f97cdf6dcd06f2c16cee2.pdf,Non-public data from third parties,proprietary,,,Data cleaning and filtering methods including deduplication and classification,Anthropic,internal,10
NWKEIQTV,document,2026,Anthropic,Anthropic,Claude Opus 4.6,General use,Claude Opus 4.6 System Card,https://www-cdn.anthropic.com/c788cbc0a3da9135112f97cdf6dcd06f2c16cee2.pdf,Data provided by data-labeling services and paid contractors,proprietary,,,"Preference selection, safety evaluation, and adversarial testing",Crowd workers / data work platforms,private,10-11
NWKEIQTV,document,2026,Anthropic,Anthropic,Claude Opus 4.6,General use,Claude Opus 4.6 System Card,https://www-cdn.anthropic.com/c788cbc0a3da9135112f97cdf6dcd06f2c16cee2.pdf,Data from Claude users who have opted in to have their data used for training,user-based,,,Data cleaning and filtering methods including deduplication and classification,Anthropic,internal,10
NWKEIQTV,document,2026,Anthropic,Anthropic,Claude Opus 4.6,General use,Claude Opus 4.6 System Card,https://www-cdn.anthropic.com/c788cbc0a3da9135112f97cdf6dcd06f2c16cee2.pdf,Data generated internally at Anthropic,proprietary,,,Data cleaning and filtering methods including deduplication and classification,Anthropic,internal,10
FPFBD8PV,document,2026,Anthropic,Anthropic,Claude Sonnet 4.5,General use,Claude Sonnet 4.5 System Card,https://www-cdn.anthropic.com/963373e433e489a87a10c823c52a0a013e9172dd.pdf,publicly available information on the Internet as of July 2025,public,,,deduplication and classification; general-purpose web crawler follows industry-standard practices with respect to robots.txt instructions; do not access password-protected pages or those that require sign-in or CAPTCHA verification; conduct diligence on the training data,Anthropic,internal,7
FPFBD8PV,document,2026,Anthropic,Anthropic,Claude Sonnet 4.5,General use,Claude Sonnet 4.5 System Card,https://www-cdn.anthropic.com/963373e433e489a87a10c823c52a0a013e9172dd.pdf,non-public data from third parties,other: third-party,,,deduplication and classification,Anthropic,internal,7
