Key,Item Type,Publication Year,Author,Title,Url,Company,Model,Risk,Risk category,Definition of risk,Author/source of risk definition,Type of author/source of risk definition,Method for risk mitigation,Actors involved in risk mitigation,Type of actor involved in risk mitigation,External evaluator,Type of external evaluator,Benchmark,Benchmark author,Benchmark author type,Page
FAQQKXKC,webpage,2026,Google,Design a responsible approach | Responsible Generative AI Toolkit | Google AI for Developers,https://ai.google.dev/responsible/docs/design,Google,,6 hazards,,,MLCommons Association,nonprofit,,,,,,AI Safety Benchmark,MLCommons Association,nonprofit,
2QJJDTJB,document,2025,xAI,Toward Comprehensive Benchmarking of the Biological Knowledge of Frontier Large Language Models,https://www.rand.org/pubs/working_papers/WRA3797-1.html,xAI,Grok 4.1,Abuse Potential,,"requests with a clear intent to violate the law, without over-refusing sensitive or controversial queries","Risk Management Framework [xAI, 2025]",internal policy,train Grok 4.1 on demonstrations of appropriate responses to both benign and harmful queries; employ input filters to reject specific classes of sensitive requests,,,,,internal dataset of single-turn requests that violate our safety policy,xAI,internal,1-2
2QJJDTJB,document,2025,xAI,Toward Comprehensive Benchmarking of the Biological Knowledge of Frontier Large Language Models,https://www.rand.org/pubs/working_papers/WRA3797-1.html,xAI,Grok 4.1,Abuse Potential,,"requests with a clear intent to violate the law, without over-refusing sensitive or controversial queries","Risk Management Framework [xAI, 2025]",internal policy,train Grok 4.1 on demonstrations of appropriate responses to both benign and harmful queries; employ input filters to reject specific classes of sensitive requests,,,,,AgentHarm,,,2
VPJH7HCT,document,,xAI,Grok 4 Model Card,,xAI,Grok 4,Abuse Potential,,"willingness to facilitate serious criminal activity, and susceptibility to hijacking via injected instructions",Risk Management Framework (RMF),internal policy,"basic refusal policy which instructs Grok 4 to decline queries demonstrating clear intent to engage in activities that threaten severe, imminent harm... included in the system prompt; model-based input filters",xAI,internal,,,Refusals,xAI,internal,2
2QJJDTJB,document,2025,xAI,Toward Comprehensive Benchmarking of the Biological Knowledge of Frontier Large Language Models,https://www.rand.org/pubs/working_papers/WRA3797-1.html,xAI,Grok 4.1,Adversarial robustness,,whether jailbreaks cause the model to answer requests it previously would have refused,,,safety training,,,,,internal dataset of single-turn jailbreak templates,xAI,internal,2
2QJJDTJB,document,2025,xAI,Toward Comprehensive Benchmarking of the Biological Knowledge of Frontier Large Language Models,https://www.rand.org/pubs/working_papers/WRA3797-1.html,xAI,Grok 4.1,Adversarial robustness,,whether jailbreaks cause the model to answer requests it previously would have refused,,,safety training,,,,,AgentDojo,"Debenedetti et al., 2024",academic,2
VPJH7HCT,document,,xAI,Grok 4 Model Card,,xAI,Grok 4,Agentic abuse,,"model to be used in an 'agentic' manner, that is, repeatedly take actions toward a specified goal... risks of misuse beyond what is present in conversational settings, such as executing real function calls",,,system prompt,xAI,internal,,,AgentHarm,"Andriushchenko et al., 2025",academic,2
IAZRTFQL,document,2025,Anthropic,Claude Haiku 4.5 System Card,https://www-cdn.anthropic.com/7aad69bf12627d42234e01ee7c36305dc2f6a970.pdf,Anthropic,Claude Haiku 4.5,Agentic misalignment,,"Exotic scenarios meant to elicit the model to commit blackmail, attempt a murder, and frame someone for financial crimes.",,,,,,,,Agentic misalignment evaluation suite,Anthropic,internal,27-28
8AC5MJHG,document,2025,Anthropic,System Card  Addendum:  Claude Opus 4.1,,Anthropic,Claude Opus 4.1,Agentic misalignment,,Blackmail as the only means by which a model can preserve its continued operation,Agentic Misalignment work,internal policy,,,,,,Blackmail Scenario Evaluation,Anthropic,internal,12
U4EK443P,document,2025,OpenAI,Addendum to GPT-4o System Card: Native image generation,,OpenAI,4o image generation,Ahistorical and Unrealistic Bias,,"Outputting ahistorical, unrealistic, or undesired attributes contrary to the user's intent, such as changing the race of a historically well-specified population.",,,,,,,,Automated evaluation for ahistorical and unrealistic bias,OpenAI,internal,9
YJ2AIUGY,preprint,2025,"Singh, Aaditya; Fry, Adam; Perelman, Adam; Tart, Adam; Ganesh, Adi; El-Kishky, Ahmed; McLaughlin, Aidan; Low, Aiden; Ostrow, A. J.; Ananthram, Akhila; Nathan, Akshay; Luo, Alan; Helyar, Alec; Madry, Aleksander; Efremov, Aleksandr; Spyra, Aleksandra; Baker-Whitcomb, Alex; Beutel, Alex; Karpenko, Alex; Makelov, Alex; Neitz, Alex; Wei, Alex; Barr, Alexandra; Kirchmeyer, Alexandre; Ivanov, Alexey; Christakis, Alexi; Gillespie, Alistair; Tam, Allison; Bennett, Ally; Wan, Alvin; Huang, Alyssa; Sandjideh, Amy McDonald; Yang, Amy; Kumar, Ananya; Saraiva, Andre; Vallone, Andrea; Gheorghe, Andrei; Garcia, Andres Garcia; Braunstein, Andrew; Liu, Andrew; Schmidt, Andrew; Mereskin, Andrey; Mishchenko, Andrey; Applebaum, Andy; Rogerson, Andy; Rajan, Ann; Wei, Annie; Kotha, Anoop; Srivastava, Anubha; Agrawal, Anushree; Vijayvergiya, Arun; Tyra, Ashley; Nair, Ashvin; Nayak, Avi; Eggers, Ben; Ji, Bessie; Hoover, Beth; Chen, Bill; Chen, Blair; Barak, Boaz; Minaiev, Borys; Hao, Botao; Baker, Bowen; Lightcap, Brad; McKinzie, Brandon; Wang, Brandon; Quinn, Brendan; Fioca, Brian; Hsu, Brian; Yang, Brian; Yu, Brian; Zhang, Brian; Brenner, Brittany; Zetino, Callie Riggins; Raymond, Cameron; Lugaresi, Camillo; Paz, Carolina; Hudson, Cary; Whitney, Cedric; Li, Chak; Chen, Charles; Cole, Charlotte; Voss, Chelsea; Ding, Chen; Shen, Chen; Huang, Chengdu; Colby, Chris; Hallacy, Chris; Koch, Chris; Lu, Chris; Kaplan, Christina; Kim, Christina; Minott-Henriques, C. J.; Frey, Cliff; Yu, Cody; Czarnecki, Coley; Reid, Colin; Wei, Colin; Decareaux, Cory; Scheau, Cristina; Zhang, Cyril; Forbes, Cyrus; Tang, Da; Goldberg, Dakota; Roberts, Dan; Palmie, Dana; Kappler, Daniel; Levine, Daniel; Wright, Daniel; Leo, Dave; Lin, David; Robinson, David; Grabb, Declan; Chen, Derek; Lim, Derek; Salama, Derek; Bhattacharjee, Dibya; Tsipras, Dimitris; Li, Dinghua; Yu, Dingli; Strouse, D. J.; Williams, Drew; Hunn, Dylan; Bayes, Ed; Arbus, Edwin; Akyurek, Ekin; Le, Elaine Ya; Widmann, Elana; Yani, Eli; Proehl, Elizabeth; Sert, Enis; Cheung, Enoch; Schwartz, Eri; Han, Eric; Jiang, Eric; Mitchell, Eric; Sigler, Eric; Wallace, Eric; Ritter, Erik; Kavanaugh, Erin; Mays, Evan; Nikishin, Evgenii; Li, Fangyuan; Such, Felipe Petroski; Peres, Filipe de Avila Belbute; Raso, Filippo; Bekerman, Florent; Tsimpourlas, Foivos; Chantzis, Fotis; Song, Francis; Zhang, Francis; Raila, Gaby; McGrath, Garrett; Briggs, Gary; Yang, Gary; Parascandolo, Giambattista; Chabot, Gildas; Kim, Grace; Zhao, Grace; Valiant, Gregory; Leclerc, Guillaume; Salman, Hadi; Wang, Hanson; Sheng, Hao; Jiang, Haoming; Wang, Haoyu; Jin, Haozhun; Sikchi, Harshit; Schmidt, Heather; Aspegren, Henry; Chen, Honglin; Qiu, Huida; Lightman, Hunter; Covert, Ian; Kivlichan, Ian; Silber, Ian; Sohl, Ian; Hammoud, Ibrahim; Clavera, Ignasi; Lan, Ikai; Akkaya, Ilge; Kostrikov, Ilya; Kofman, Irina; Etinger, Isak; Singal, Ishaan; Hehir, Jackie; Huh, Jacob; Pan, Jacqueline; Wilczynski, Jake; Pachocki, Jakub; Lee, James; Quinn, James; Kiros, Jamie; Kalra, Janvi; Samaroo, Jasmyn; Wang, Jason; Wolfe, Jason; Chen, Jay; Wang, Jay; Harb, Jean; Han, Jeffrey; Wang, Jeffrey; Zhao, Jennifer; Chen, Jeremy; Yang, Jerene; Tworek, Jerry; Chand, Jesse; Landon, Jessica; Liang, Jessica; Lin, Ji; Liu, Jiancheng; Wang, Jianfeng; Tang, Jie; Yin, Jihan; Jang, Joanne; Morris, Joel; Flynn, Joey; Ferstad, Johannes; Heidecke, Johannes; Fishbein, John; Hallman, John; Grant, Jonah; Chien, Jonathan; Gordon, Jonathan; Park, Jongsoo; Liss, Jordan; Kraaijeveld, Jos; Guay, Joseph; Mo, Joseph; Lawson, Josh; McGrath, Josh; Vendrow, Joshua; Jiao, Joy; Lee, Julian; Steele, Julie; Wang, Julie; Mao, Junhua; Chen, Kai; Hayashi, Kai; Xiao, Kai; Salahi, Kamyar; Wu, Kan; Sekhri, Karan; Sharma, Karan; Singhal, Karan; Li, Karen; Nguyen, Kenny; Gu-Lemberg, Keren; King, Kevin; Liu, Kevin; Stone, Kevin; Yu, Kevin; Ying, Kristen; Georgiev, Kristian; Lim, Kristie; Tirumala, Kushal; Miller, Kyle; Ahmad, Lama; Lv, Larry; Clare, Laura; Fauconnet, Laurance; Itow, Lauren; Yang, Lauren; Romaniuk, Laurentia; Anise, Leah; Byron, Lee; Pathak, Leher; Maksin, Leon; Lo, Leyan; Ho, Leyton; Jing, Li; Wu, Liang; Xiong, Liang; Mamitsuka, Lien; Yang, Lin; McCallum, Lindsay; Held, Lindsey; Bourgeois, Liz; Engstrom, Logan; Kuhn, Lorenz; Feuvrier, Louis; Zhang, Lu; Switzer, Lucas; Kondraciuk, Lukas; Kaiser, Lukasz; Joglekar, Manas; Singh, Mandeep; Shah, Mandip; Stratta, Manuka; Williams, Marcus; Chen, Mark; Sun, Mark; Cayton, Marselus; Li, Martin; Zhang, Marvin; Aljubeh, Marwan; Nichols, Matt; Haines, Matthew; Schwarzer, Max; Gupta, Mayank; Shah, Meghan; Huang, Melody; Dong, Meng; Wang, Mengqing; Glaese, Mia; Carroll, Micah; Lampe, Michael; Malek, Michael; Sharman, Michael; Zhang, Michael; Wang, Michele; Pokrass, Michelle; Florian, Mihai; Pavlov, Mikhail; Wang, Miles; Chen, Ming; Wang, Mingxuan; Feng, Minnia; Bavarian, Mo; Lin, Molly; Abdool, Moose; Rohaninejad, Mostafa; Soto, Nacho; Staudacher, Natalie; LaFontaine, Natan; Marwell, Nathan; Liu, Nelson; Preston, Nick; Turley, Nick; Ansman, Nicklas; Blades, Nicole; Pancha, Nikil; Mikhaylin, Nikita; Felix, Niko; Handa, Nikunj; Rai, Nishant; Keskar, Nitish; Brown, Noam; Nachum, Ofir; Boiko, Oleg; Murk, Oleg; Watkins, Olivia; Gleeson, Oona; Mishkin, Pamela; Lesiewicz, Patryk; Baltescu, Paul; Belov, Pavel; Zhokhov, Peter; Pronin, Philip; Guo, Phillip; Thacker, Phoebe; Liu, Qi; Yuan, Qiming; Liu, Qinghua; Dias, Rachel; Puckett, Rachel; Arora, Rahul; Mullapudi, Ravi Teja; Gaon, Raz; Miyara, Reah; Song, Rennie; Aggarwal, Rishabh; Marsan, R. J.; Yemiru, Robel; Xiong, Robert; Kshirsagar, Rohan; Nuttall, Rohan; Tsiupa, Roman; Eldan, Ronen; Wang, Rose; James, Roshan; Ziv, Roy; Shu, Rui; Nigmatullin, Ruslan; Jain, Saachi; Talaie, Saam; Altman, Sam; Arnesen, Sam; Toizer, Sam; Toyer, Sam; Miserendino, Samuel; Agarwal, Sandhini; Yoo, Sarah; Heon, Savannah; Ethersmith, Scott; Grove, Sean; Taylor, Sean; Bubeck, Sebastien; Banesiu, Sever; Amdo, Shaokyi; Zhao, Shengjia; Wu, Sherwin; Santurkar, Shibani; Zhao, Shiyu; Chaudhuri, Shraman Ray; Krishnaswamy, Shreyas; Shuaiqi; Xia; Cheng, Shuyang; Anadkat, Shyamal; Fishman, Simón Posada; Tobin, Simon; Fu, Siyuan; Jain, Somay; Mei, Song; Egoian, Sonya; Kim, Spencer; Golden, Spug; Mah, S. Q.; Lin, Steph; Imm, Stephen; Sharpe, Steve; Yadlowsky, Steve; Choudhry, Sulman; Eum, Sungwon; Sanjeev, Suvansh; Khan, Tabarak; Stramer, Tal; Wang, Tao; Xin, Tao; Gogineni, Tarun; Christianson, Taya; Sanders, Ted; Patwardhan, Tejal; Degry, Thomas; Shadwell, Thomas; Fu, Tianfu; Gao, Tianshi; Garipov, Timur; Sriskandarajah, Tina; Sherbakov, Toki; Kaftan, Tomer; Hiratsuka, Tomo; Wang, Tongzhou; Song, Tony; Zhao, Tony; Peterson, Troy; Kharitonov, Val; Chernova, Victoria; Kosaraju, Vineet; Kuo, Vishal; Pong, Vitchyr; Verma, Vivek; Petrov, Vlad; Jiang, Wanning; Zhang, Weixing; Zhou, Wenda; Xie, Wenlei; Zhan, Wenting; McCabe, Wes; DePue, Will; Ellsworth, Will; Bain, Wulfie; Thompson, Wyatt; Chen, Xiangning; Qi, Xiangyu; Xiang, Xin; Shi, Xinwei; Dubois, Yann; Yu, Yaodong; Khakbaz, Yara; Wu, Yifan; Qian, Yilei; Lee, Yin Tat; Chen, Yinbo; Zhang, Yizhen; Xiong, Yizhong; Tian, Yonglong; Cha, Young; Bai, Yu; Yang, Yu; Yuan, Yuan; Li, Yuanzhi; Zhang, Yufeng; Yang, Yuguang; Jin, Yujia; Jiang, Yun; Wang, Yunyun; Wang, Yushi; Liu, Yutian; Stubenvoll, Zach; Dou, Zehao; Wu, Zheng; Wang, Zhigang",OpenAI GPT-5 System Card,http://arxiv.org/abs/2601.03267,OpenAI,GPT-5,AI Self-Improvement,,risks from autonomy... capable of rogue replication... speed up AI R&D researchers,,,,,,METR,nonprofit,SWE-bench Verified,OpenAI,internal,35
